,X,rt,trial_index,subject,form_assignment,stimulus,button_pressed,stimNum,topic,form,response,numeric_response
1,2,6681,2,0f27foeq2w,conventional,<p>Paris is the capital of France.</p>,1,20,Paris,proposition,literal,0
2,3,11757,3,0f27foeq2w,conventional,<p>Please clean up your room.</p>,1,17,clean,direct,literal,0
3,4,3093,4,0f27foeq2w,conventional,<p>I am six feet tall.</p>,1,22,tall,proposition,literal,0
4,5,8301,5,0f27foeq2w,conventional,<p>Please wash your clothes.</p>,1,16,laundry,direct,literal,0
5,6,4923,6,0f27foeq2w,conventional,<p>Please dice this onion.</p>,1,15,tomatoes,direct,literal,0
6,7,4864,7,0f27foeq2w,conventional,<p>My laptop is broken.</p>,1,5,laptop,nonconventional,literal,0
7,8,3270,8,0f27foeq2w,conventional,<p>The dog is named Skip.</p>,1,21,dog,proposition,literal,0
8,9,5677,9,0f27foeq2w,conventional,<p>Can you close that door?</p>,0,4,door,conventional,request,1
9,10,2343,10,0f27foeq2w,conventional,<p>Cats are a kind of mammal.</p>,1,24,cats,proposition,literal,0
10,11,2021,11,0f27foeq2w,conventional,<p>I am wearing a green hat.</p>,1,19,hat,proposition,literal,0
11,12,5586,12,0f27foeq2w,conventional,<p>My car isn't starting.</p>,1,1,car,nonconventional,literal,0
12,13,3590,13,0f27foeq2w,conventional,<p>Please turn off the television.</p>,1,14,television,direct,literal,0
13,14,13522,14,0f27foeq2w,conventional,<p>Please refill my cup.</p>,0,13,salt,direct,request,1
14,15,1570,15,0f27foeq2w,conventional,<p>Can you lift that box?</p>,0,3,box,conventional,request,1
15,16,2175,16,0f27foeq2w,conventional,<p>Can you change the temperature?</p>,0,12,temperature,conventional,request,1
16,17,1802,17,0f27foeq2w,conventional,<p>My back is really sore.</p>,1,2,back,nonconventional,literal,0
17,18,5784,18,0f27foeq2w,conventional,<p>Can you say that in Spanish?</p>,1,10,spanish,conventional,literal,0
18,19,4364,19,0f27foeq2w,conventional,<p>Can you play the piano?</p>,1,8,piano,conventional,literal,0
19,20,1939,20,0f27foeq2w,conventional,<p>My soup is cold.</p>,1,9,soup,nonconventional,literal,0
20,21,2716,21,0f27foeq2w,conventional,<p>The United States is south of Canada.</p>,1,23,usa,proposition,literal,0
21,22,3202,22,0f27foeq2w,conventional,<p>My phone is dying.</p>,1,7,phone,nonconventional,literal,0
22,23,2712,23,0f27foeq2w,conventional,<p>Can you open that window?</p>,0,11,window,conventional,request,1
23,24,8679,24,0f27foeq2w,conventional,<p>My office is really hot.</p>,1,6,office,nonconventional,literal,0
24,25,33932,25,0f27foeq2w,conventional,<p>Please fix my faucet.</p>,1,18,faucet,direct,literal,0
25,32,38887,2,0k8qceb2g7,non_conventional,<p>Please clean up your room.</p>,0,17,clean,direct,request,1
26,33,4569,3,0k8qceb2g7,non_conventional,<p>My back is really sore.</p>,1,2,back,nonconventional,literal,0
